item_id,order_id,product_id,quantity,unit_price,discount
1,ORD500001,PRD0030,1,75.43,0
2,ORD500001,PRD0013,1,291.51,0.1
3,ORD500002,PRD0015,1,175.89,0
4,ORD500003,PRD0019,1,196.29,0
5,ORD500004,PRD0013,2,291.51,0
6,ORD500005,PRD0021,1,246.6,0.2
7,ORD500005,PRD0040,1,389.96,0.1
8,ORD500006,PRD0007,1,40.48,0.2
9,ORD500007,PRD0042,2,190.66,0.1
10,ORD500008,PRD0003,2,395.02,0
11,ORD500008,PRD0010,1,249.37,0.1
12,ORD500009,PRD0012,1,436.2,0
13,ORD500010,PRD0020,1,61.78,0
14,ORD500011,PRD0007,1,40.48,0.1
15,ORD500012,PRD0017,1,147.48,0.1
16,ORD500013,PRD0033,1,19.22,0.1
17,ORD500014,PRD0017,1,147.48,0
18,ORD500015,PRD0025,3,57.65,0
19,ORD500015,PRD0017,1,147.48,0
20,ORD500016,PRD0009,1,345.4,0
21,ORD500016,PRD0032,2,55.38,0
22,ORD500017,PRD0019,1,196.29,0
23,ORD500018,PRD0024,1,91.05,0.25
24,ORD500018,PRD0030,1,75.43,0
25,ORD500019,PRD0002,1,582.77,0
26,ORD500019,PRD0031,1,51.37,0
27,ORD500019,PRD0019,1,196.29,0.1
28,ORD500020,PRD0014,1,230.34,0
29,ORD500021,PRD0032,1,55.38,0
30,ORD500022,PRD0039,3,301.61,0.1
31,ORD500023,PRD0014,1,230.34,0
32,ORD500024,PRD0003,1,395.02,0
33,ORD500024,PRD0028,3,47.66,0
34,ORD500024,PRD0041,1,83.78,0
35,ORD500025,PRD0011,1,514.44,0.1
36,ORD500025,PRD0020,2,61.78,0.2
37,ORD500026,PRD0031,3,51.37,0
38,ORD500027,PRD0031,1,51.37,0
39,ORD500028,PRD0028,1,47.66,0.1
40,ORD500029,PRD0042,1,190.66,0.1
41,ORD500030,PRD0006,1,163.15,0
42,ORD500031,PRD0029,1,120.17,0.2
43,ORD500031,PRD0038,1,219.13,0
44,ORD500032,PRD0028,2,47.66,0.2
45,ORD500033,PRD0031,1,51.37,0.1
46,ORD500034,PRD0003,1,395.02,0
47,ORD500035,PRD0014,2,230.34,0
48,ORD500035,PRD0016,3,101.17,0.1
49,ORD500036,PRD0011,1,514.44,0.1
50,ORD500036,PRD0007,2,40.48,0.1
51,ORD500037,PRD0010,2,249.37,0.1
52,ORD500038,PRD0032,1,55.38,0
53,ORD500038,PRD0026,2,51.81,0.15
54,ORD500039,PRD0021,2,246.6,0.1
55,ORD500040,PRD0032,2,55.38,0.1
56,ORD500041,PRD0039,3,301.61,0
57,ORD500041,PRD0033,1,19.22,0
58,ORD500042,PRD0022,1,27.77,0.15
59,ORD500043,PRD0003,1,395.02,0.15
60,ORD500044,PRD0032,1,55.38,0.15
61,ORD500045,PRD0033,3,19.22,0.1
62,ORD500045,PRD0007,2,40.48,0.25
63,ORD500046,PRD0011,2,514.44,0
64,ORD500046,PRD0026,3,51.81,0
65,ORD500046,PRD0010,2,249.37,0.2
66,ORD500046,PRD0015,1,175.89,0.2
67,ORD500047,PRD0040,3,389.96,0
68,ORD500048,PRD0018,1,181.28,0
69,ORD500048,PRD0020,1,61.78,0.1
70,ORD500048,PRD0039,1,301.61,0
