order_id,customer_id,order_date
ORD503080,CUST0222,2023-03-21
ORD500003,CUST0109,2023-03-22
ORD502785,CUST0189,2023-03-22
ORD500788,CUST0155,2023-03-27
ORD502055,CUST0189,2023-03-30
ORD502461,CUST0110,2023-04-01
ORD502778,CUST0235,2023-04-06
ORD503188,CUST0102,2023-04-21
ORD502401,CUST0228,2023-04-25
ORD503552,CUST0222,2023-04-25
ORD501999,CUST0020,2023-04-26
ORD502587,CUST0236,2023-05-09
ORD501524,CUST0058,2023-05-11
ORD501483,CUST0090,2023-05-15
ORD503193,CUST0091,2023-05-21
ORD500818,CUST0038,2023-05-28
ORD501538,CUST0089,2023-06-04
ORD503784,CUST0102,2023-06-09
ORD501515,CUST0169,2023-06-14
ORD501426,CUST0129,2023-06-19
ORD503132,CUST0089,2023-06-24
ORD503381,CUST0109,2023-06-26
ORD501090,CUST0099,2023-06-27
ORD500559,CUST0155,2023-06-28
ORD503773,CUST0212,2023-06-28
ORD501850,CUST0198,2023-07-01
ORD502667,CUST0041,2023-07-20
ORD503436,CUST0144,2023-07-21
ORD500341,CUST0041,2023-07-22
ORD502527,CUST0089,2023-07-22
ORD503316,CUST0169,2023-07-27
ORD500006,CUST0050,2023-08-06
ORD500963,CUST0189,2023-08-14
ORD503544,CUST0028,2023-08-14
ORD501062,CUST0078,2023-08-20
ORD501014,CUST0188,2023-08-21
ORD500995,CUST0033,2023-08-23
ORD501967,CUST0109,2023-08-25
ORD503178,CUST0091,2023-08-25
ORD502023,CUST0222,2023-08-27
ORD501743,CUST0038,2023-08-29
ORD500165,CUST0169,2023-09-01
ORD502247,CUST0113,2023-09-02
ORD502059,CUST0007,2023-09-03
ORD502418,CUST0047,2023-09-03
ORD503081,CUST0212,2023-09-07
ORD503582,CUST0239,2023-09-09
ORD502643,CUST0155,2023-09-11
ORD501973,CUST0049,2023-09-12
ORD501172,CUST0105,2023-09-13
ORD502349,CUST0089,2023-09-13
ORD501848,CUST0007,2023-09-14
ORD503567,CUST0078,2023-09-16
ORD501609,CUST0214,2023-09-18
ORD503610,CUST0050,2023-09-19
ORD500581,CUST0059,2023-09-20
ORD501742,CUST0099,2023-09-21
ORD502911,CUST0020,2023-09-25
ORD501196,CUST0090,2023-09-26
ORD501242,CUST0050,2023-09-30
ORD501904,CUST0218,2023-09-30
ORD502954,CUST0005,2023-10-01
ORD502586,CUST0025,2023-10-05
ORD500567,CUST0072,2023-10-06
ORD501892,CUST0105,2023-10-07
ORD502484,CUST0138,2023-10-07
ORD500380,CUST0049,2023-10-08
ORD502654,CUST0072,2023-10-09
ORD502971,CUST0113,2023-10-09
ORD500714,CUST0160,2023-10-12
ORD500655,CUST0106,2023-10-13
ORD501553,CUST0078,2023-10-15
ORD501677,CUST0214,2023-10-15
ORD502217,CUST0071,2023-10-16
ORD501720,CUST0144,2023-10-17
ORD503267,CUST0041,2023-10-17
ORD501994,CUST0169,2023-10-18
ORD500134,CUST0211,2023-10-19
ORD503261,CUST0138,2023-10-20
ORD502010,CUST0212,2023-10-22
ORD501071,CUST0043,2023-10-23
ORD500616,CUST0102,2023-10-24
ORD502839,CUST0043,2023-10-24
ORD502902,CUST0047,2023-10-24
ORD503323,CUST0144,2023-10-26
ORD501943,CUST0257,2023-10-27
ORD503014,CUST0024,2023-10-27
